TIME,Capacity (Pcs/Min),,,Accumulate (Pcs/Day),,,,,,,,,,,,,,,,,,,,
(hh:mm:ss),ALL,LINE 1A,LINE 1B,ALL,LINE 1A,LINE 1B,,,,,,,,,,,,,,,,,,
7:39:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
7:40:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
7:41:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
7:42:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
7:43:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
7:44:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
7:45:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
7:46:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
7:47:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
7:48:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
7:49:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
7:50:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
7:51:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
7:52:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
7:53:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
7:54:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
7:55:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
7:56:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
7:57:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
7:58:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
7:59:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
8:00:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
8:01:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
8:02:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
8:03:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
8:04:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
8:05:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
8:06:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
