Request State,TTR(hr),Machine ID,Machine Name,Request ID,Requester,WO ID,Description,Location,JobTrade,JobTypeId,Responsible,WorkerG,Priority,Month,Day,Month,Day
Finished,81 hr 36 min,ENWA-240009,Producton Low Risk,MNT-00004089,1900224,WRKO-00004904,แจ้งซ่อมเครื่อง drive ตัวแกนหมุนไม่หมุน,Work Area,Production Machine,Inspection,"",ENG,4,January,2,January,5
Finished,693 hr 43 min,ENWA-240008,Producton High Risk,MNT-00004087,1900209,WRKO-00004902,แจ้งแก้ไขแอร์ห้อง packaging store มีเสียงดังผิดปกติ,Work Area,Air Condition,Inspection,"",ENG,1,January,2,January,31
Finished,6 hr 52 min,ENWA-240009,Producton Low Risk,MNT-00004085,1900052,WRKO-00004900,แจ้งเปลี่ยนใบมีดเครื่อง Peeling เนื่องจากมีรอยร้าว 1 จุด,Work Area,Production Machine,Inspection,"",ENG,4,January,2,January,2
Finished,106 hr 3 min,ENWA-240009,Producton Low Risk,MNT-00004340,1900175,WRKO-00005191,แก้ไขฮูดห้อง Cooking 2 ไม่ค่อยดูด ฝั่งดิบ,Work Area,Production Machine,Inspection,"",ENG,4,January,31,February,4
Finished,204 hr 1 min,ENWA-240008,Producton High Risk,MNT-00004225,1900175,WRKO-00005052,แก้ไขอ่างล้างมือรั่ว จุดรับของฝั่งสุก,Work Area,Tool and Equipment,Inspection,"",ENG,4,January,13,January,21
Finished,65 hr 22 min,ENWA-240009,Producton Low Risk,MNT-00004478,1900175,WRKO-00005344,แก้ไขหลอดไฟห้องล้าง ฝาครอบหลอดชำรุด ฝั่งดิบ,Work Area,Electrical system,Inspection,"",ENG,4,February,23,February,25
Finished,,ENWA-240009,Producton Low Risk,MNT-00004351,1900175,WRKO-00005205,แก้ไขหลอดไฟห้องล้าง ฝั่งดิบ,Work Area,Electrical system,Inspection,"",ENG,4,February,4,February,3
Finished,360 hr 17 min,ENWA-240009,Producton Low Risk,MNT-00004352,1900175,WRKO-00005206,แก้ไขหลอดไฟห้อง Cooking 2 จะหลุด ฝั่งดิบ,Work Area,Electrical system,Inspection,"",ENG,4,February,4,February,19
Finished,,ENWA-240009,Producton Low Risk,MNT-00004383,1900175,WRKO-00005244,แก้ไขหลอดไฟหน้าทางเข้าไลน์ผลิตเสีย-ไฟกระพริบ ฝั่งดิบ,Work Area,Electrical system,Inspection,"",ENG,4,February,7,February,7
Finished,189 hr 42 min,ENWA-240008,Producton High Risk,MNT-00004456,1900175,WRKO-00005317,แก้ไขหลอดไฟหน้าblast chillชำรุด ฝั่งสุก,Work Area,Electrical system,Inspection,"",ENG,4,February,17,February,24
Finished,17 hr 21 min,ENWA-240009,Producton Low Risk,MNT-00004517,1900175,WRKO-00005384,แก้ไขหลอดไฟดับ1หลอด ที่ห้อง chill ติดห้องข้าว ฝั่งดิบ,Work Area,Electrical system,Inspection,"",ENG,4,February,26,February,26
Finished,23 hr 19 min,ENWA-240008,Producton High Risk,MNT-00004211,1900175,WRKO-00005038,แก้ไขหลอดไฟชำรุด ไลน์ Assembly,Work Area,Electrical system,Inspection,"",ENG,4,January,12,January,13
Finished,24 hr 3 min,ENWA-240008,Producton High Risk,MNT-00004308,1900175,WRKO-00005156,แก้ไขหลอดไฟไม่ติด ห้องเก็บกิโลฝั่งสุก,Work Area,Electrical system,Inspection,"",ENG,4,January,26,January,27
