,INFEED CONVEYER,,,,,,,,,,,,,,OUTFEED CONVEYER,,,,,,,
TIME,Capacity (Pcs/Min),,,Accumulate (Pcs/Day),,,,Belt Speed (Hz),,,,,,Operation time,Accumulate,Belt Speed (Hz),,,,,,
(hh:mm:ss),ALL,LINE 2,LINE 3,ALL,LINE 2,LINE 3,FREEZER CAPACITY,M04A,M04B,M07,M08,M09,M10,Hr.,Pcs/Day,M11,M12,M13,,,,
2:59:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
3:00:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
3:01:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
3:02:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
3:03:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
3:04:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
3:05:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
3:06:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
3:07:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
3:08:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
3:09:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
3:10:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
3:11:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
3:12:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
3:13:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
3:14:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
3:15:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
3:16:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
3:17:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
3:18:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
3:19:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
3:20:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
3:21:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
3:22:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
3:23:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
3:24:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
3:25:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
3:26:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
3:27:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
3:28:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
